,0
0,Connecticut
1,Delaware
2,Florida
3,Georgia
4,Idaho
5,Indiana
6,Louisiana
7,Maryland
8,Massachusetts
9,Montana
10,Nebraska
11,Nevada
12,New Hampshire
13,Oklahoma
14,South Dakota
15,Utah
